N,Strategy,MeanCost,SE
100,Corrective (State D),2932.5,86.7507204581034
100,Preventive (State C),830.4,9.476201770751825
100,Pre-emptive (State B),694.2,3.7714188311562538
500,Corrective (State D),2814.0,38.03167101246012
500,Preventive (State C),823.32,4.2023273551688
500,Pre-emptive (State B),690.12,1.6442539949776618
1000,Corrective (State D),2769.0,27.396423124196343
1000,Preventive (State C),830.28,2.807689726447707
1000,Pre-emptive (State B),689.385,1.1695498172373846
5000,Corrective (State D),2833.8,12.299695605989605
5000,Preventive (State C),827.472,1.253871541745804
5000,Pre-emptive (State B),690.39,0.5182852303510105
10000,Corrective (State D),2826.75,8.722725706452083
10000,Preventive (State C),826.032,0.8936584904760879
10000,Pre-emptive (State B),689.5815,0.36629255489976864
