SocialCost,Strategy,MeanCost
0.0,Corrective (State D),1335.25
0.0,Preventive (State C),825.198
0.0,Pre-emptive (State B),689.8935
100.0,Corrective (State D),1639.815
100.0,Preventive (State C),826.23
100.0,Pre-emptive (State B),690.426
200.0,Corrective (State D),1944.87
200.0,Preventive (State C),825.99
200.0,Pre-emptive (State B),689.208
300.0,Corrective (State D),2246.92
300.0,Preventive (State C),826.11
300.0,Pre-emptive (State B),689.802
400.0,Corrective (State D),2532.97
400.0,Preventive (State C),825.648
400.0,Pre-emptive (State B),690.1785
500.0,Corrective (State D),2818.5
500.0,Preventive (State C),826.764
500.0,Pre-emptive (State B),690.309
600.0,Corrective (State D),3124.67
600.0,Preventive (State C),827.358
600.0,Pre-emptive (State B),689.9775
700.0,Corrective (State D),3423.59
700.0,Preventive (State C),826.428
700.0,Pre-emptive (State B),689.808
800.0,Corrective (State D),3724.275
800.0,Preventive (State C),825.996
800.0,Pre-emptive (State B),689.685
900.0,Corrective (State D),4012.165
900.0,Preventive (State C),825.516
900.0,Pre-emptive (State B),689.829
1000.0,Corrective (State D),4322.875
1000.0,Preventive (State C),827.616
1000.0,Pre-emptive (State B),689.757
